TP,FP,FN,TN,Precision,Recall,F1,IoU,Accuracy,Image,Inference_ms
1822,760,523,169951,0.7056545313437005,0.7769722814167603,0.7395980828236471,0.5867954911244189,0.9925862148668639,1819.rf.d2d41865c85e1019dc3e8b9daf73c434.jpg,2.2684999858029187
1755,10740,176,160385,0.1404561824718651,0.9088555152299919,0.24331066584267141,0.1385052482034685,0.9369221523668639,1839.rf.3495cbba8ee9a583ed0dff8d0e5fc0f7.jpg,2.7396999939810485
4526,117877,528,50125,0.03697621790312576,0.895528294402542,0.07102002266856067,0.03681740163177977,0.3157995099852071,1896.rf.e718dd26abc98c2645ea37a808039034.jpg,4.381700011435896
795,30991,751,140519,0.02501101113689986,0.5142302716355608,0.047701899229922726,0.024433721609169765,0.8165796042899408,1921.rf.e704f0b0e352f4ac12f23e71ffa6d9ad.jpg,4.088899993803352
3355,9187,972,159542,0.2675011959793693,0.7753639935110848,0.3977710211927687,0.24826106259990927,0.9412964589497042,1957.rf.e4ee900c82e7bab356690f56f27959c6.jpg,3.0858999816700816
3772,11924,1721,155639,0.2403160040759409,0.686692153637599,0.3560337527079173,0.21657001779745896,0.9211526904585798,1960.rf.a23272eb27c0f5ab6327f98571919ad9.jpg,4.80179997975938
3616,13620,3359,152461,0.20979345555691695,0.5184229390606678,0.29870715818549415,0.17557659626037592,0.9018872503698225,1974.rf.c900dacf421e72dd3b10be4d3f6e4b40.jpg,3.1777000112924725
3124,3646,1186,165100,0.4614475627701411,0.724825986062069,0.5638988694220152,0.3926596279488102,0.9720784023668639,1979.rf.d3ee9d85b659ee844d1c26680f05d419.jpg,2.94990002294071
3124,3646,1186,165100,0.4614475627701411,0.724825986062069,0.5638988694220152,0.3926596279488102,0.9720784023668639,1979.rf.dea5db582b997afc4acb0f68d74c3b84.jpg,2.866599999833852
1508,88546,240,82762,0.016745508250586596,0.8627002287835983,0.032853311006842925,0.016700998958937802,0.486952200443787,1998.rf.c310ef9093282f4e2e72be168ab5f879.jpg,4.036099999211729
